signing_team,season_year,count_within_division,count_cross_division,count_cross_conference,total_signing_count,pct_cross_conference,any_cross_conference,offseason_data_pending
PIT,2023,2,7,9,18,0.5,TRUE,FALSE
SEA,2023,1,1,5,8,0.625,TRUE,FALSE
SJS,2023,2,1,4,9,0.4444444444444444,TRUE,FALSE
STL,2023,2,0,3,5,0.6,TRUE,FALSE
TBL,2023,1,4,5,10,0.5,TRUE,FALSE
TOR,2023,2,2,6,10,0.6,TRUE,FALSE
VAN,2023,2,0,4,6,0.6666666666666666,TRUE,FALSE
VGK,2023,0,0,1,2,0.5,TRUE,FALSE
WPG,2023,0,3,0,5,0,FALSE,FALSE
WSH,2023,0,0,0,0,0,FALSE,FALSE
ANA,2024,0,0,2,4,0.5,TRUE,FALSE
ARI,2024,0,0,0,0,0,FALSE,FALSE
BOS,2024,0,1,7,8,0.875,TRUE,FALSE
BUF,2024,1,4,5,11,0.45454545454545453,TRUE,FALSE
CAR,2024,1,7,2,11,0.18181818181818182,TRUE,FALSE
CBJ,2024,0,2,4,6,0.6666666666666666,TRUE,FALSE
CGY,2024,2,2,2,6,0.3333333333333333,TRUE,FALSE
CHI,2024,3,1,6,11,0.5454545454545454,TRUE,FALSE
COL,2024,1,2,4,9,0.4444444444444444,TRUE,FALSE
DAL,2024,2,3,4,11,0.36363636363636365,TRUE,FALSE
DET,2024,3,2,4,10,0.4,TRUE,FALSE
EDM,2024,3,3,2,12,0.16666666666666666,TRUE,FALSE
FLA,2024,1,3,5,9,0.5555555555555556,TRUE,FALSE
LAK,2024,3,2,2,11,0.18181818181818182,TRUE,FALSE
MIN,2024,5,2,3,10,0.3,TRUE,FALSE
MTL,2024,1,0,0,1,0,FALSE,FALSE
NJD,2024,2,0,5,7,0.7142857142857143,TRUE,FALSE
NSH,2024,3,1,4,9,0.4444444444444444,TRUE,FALSE
NYI,2024,1,2,2,8,0.25,TRUE,FALSE
NYR,2024,0,1,2,4,0.5,TRUE,FALSE
OTT,2024,6,0,4,11,0.36363636363636365,TRUE,FALSE
PHI,2024,0,1,1,3,0.3333333333333333,TRUE,FALSE
PIT,2024,2,2,4,9,0.4444444444444444,TRUE,FALSE
SEA,2024,1,0,6,7,0.8571428571428571,TRUE,FALSE
SJS,2024,2,2,3,7,0.42857142857142855,TRUE,FALSE
STL,2024,2,0,1,4,0.25,TRUE,FALSE
TBL,2024,3,1,2,6,0.3333333333333333,TRUE,FALSE
TOR,2024,4,1,2,9,0.2222222222222222,TRUE,FALSE
VAN,2024,2,2,4,8,0.5,TRUE,FALSE
VGK,2024,1,2,5,9,0.5555555555555556,TRUE,FALSE
WPG,2024,2,0,3,6,0.5,TRUE,FALSE
WSH,2024,0,0,0,0,0,FALSE,FALSE
ANA,2025,0,1,0,1,0,FALSE,FALSE
BOS,2025,1,2,4,8,0.5,TRUE,FALSE
BUF,2025,2,3,3,8,0.375,TRUE,FALSE
CAR,2025,2,0,1,6,0.16666666666666666,TRUE,FALSE
CBJ,2025,2,0,3,5,0.6,TRUE,FALSE
CGY,2025,0,0,0,1,0,FALSE,FALSE
CHI,2025,1,0,1,2,0.5,TRUE,FALSE
COL,2025,0,3,2,6,0.3333333333333333,TRUE,FALSE
DAL,2025,1,0,1,2,0.5,TRUE,FALSE
DET,2025,3,1,1,5,0.2,TRUE,FALSE
EDM,2025,0,0,6,6,1,TRUE,FALSE
FLA,2025,2,2,1,6,0.16666666666666666,TRUE,FALSE
LAK,2025,1,2,5,9,0.5555555555555556,TRUE,FALSE
MIN,2025,0,0,6,6,1,TRUE,FALSE
MTL,2025,1,2,3,6,0.5,TRUE,FALSE
NJD,2025,0,4,2,7,0.2857142857142857,TRUE,FALSE
NSH,2025,0,0,1,1,1,TRUE,FALSE
NYI,2025,1,2,3,7,0.42857142857142855,TRUE,FALSE
NYR,2025,3,2,1,6,0.16666666666666666,TRUE,FALSE
OTT,2025,1,6,1,9,0.1111111111111111,TRUE,FALSE
PHI,2025,0,3,3,6,0.5,TRUE,FALSE
PIT,2025,1,2,4,9,0.4444444444444444,TRUE,FALSE
SEA,2025,0,1,1,2,0.5,TRUE,FALSE
SJS,2025,3,1,6,12,0.5,TRUE,FALSE
STL,2025,1,4,0,5,0,FALSE,FALSE
TBL,2025,2,1,2,5,0.4,TRUE,FALSE
TOR,2025,2,1,0,4,0,FALSE,FALSE
UTA,2025,3,1,3,9,0.3333333333333333,TRUE,FALSE
VAN,2025,1,1,4,6,0.6666666666666666,TRUE,FALSE
VGK,2025,0,1,3,5,0.6,TRUE,FALSE
WPG,2025,3,4,3,11,0.2727272727272727,TRUE,FALSE
WSH,2025,0,0,0,0,0,FALSE,FALSE
ANA,2026,0,0,0,0,0,FALSE,TRUE
BOS,2026,0,0,0,0,0,FALSE,TRUE
BUF,2026,0,0,0,0,0,FALSE,TRUE
CAR,2026,0,0,0,0,0,FALSE,TRUE
CBJ,2026,0,0,0,0,0,FALSE,TRUE
CGY,2026,0,0,0,0,0,FALSE,TRUE
CHI,2026,0,0,0,0,0,FALSE,TRUE
COL,2026,0,0,0,0,0,FALSE,TRUE
DAL,2026,0,0,0,0,0,FALSE,TRUE
DET,2026,0,0,0,0,0,FALSE,TRUE
EDM,2026,0,0,0,0,0,FALSE,TRUE
FLA,2026,0,0,0,0,0,FALSE,TRUE
LAK,2026,0,0,0,0,0,FALSE,TRUE
MIN,2026,0,0,0,0,0,FALSE,TRUE
MTL,2026,0,0,0,0,0,FALSE,TRUE
NJD,2026,0,0,0,0,0,FALSE,TRUE
NSH,2026,0,0,0,0,0,FALSE,TRUE
NYI,2026,0,0,0,0,0,FALSE,TRUE
NYR,2026,0,0,0,0,0,FALSE,TRUE
OTT,2026,0,0,0,0,0,FALSE,TRUE
PHI,2026,0,0,0,0,0,FALSE,TRUE
PIT,2026,0,0,0,0,0,FALSE,TRUE
SEA,2026,0,0,0,0,0,FALSE,TRUE
SJS,2026,0,0,0,0,0,FALSE,TRUE
STL,2026,0,0,0,0,0,FALSE,TRUE
TBL,2026,0,0,0,0,0,FALSE,TRUE
TOR,2026,0,0,0,0,0,FALSE,TRUE
UTA,2026,0,0,0,0,0,FALSE,TRUE
VAN,2026,0,0,0,0,0,FALSE,TRUE
VGK,2026,0,0,0,0,0,FALSE,TRUE
WPG,2026,0,0,0,0,0,FALSE,TRUE
WSH,2026,0,0,0,0,0,FALSE,TRUE
